day,date,block_time,activity,target_profile_id,company_name,segment,persona,channel,message_variant,status,response_type,response_summary,call_booked_yn,call_datetime,next_action,next_action_date,owner,notes
Monday,,08:00-09:00,Build target account queue,,,,,,,,,,,,,,Founder,Finalize and prioritize 30 profiles by fit score
Friday,,09:00-10:00,Outbound batch 6,P22,,Infra and DevTools,SRE Manager,LinkedIn,Template_1,Not sent,,,,Follow up if no reply,+2d,Founder,
Friday,,10:00-11:00,Interview slot 7,,,,,,,,,,,,,,Founder,Run standard script and pilot close
Friday,,11:00-12:00,Pilot ask block,,,,,,,,,,,,,,Founder,Send pilot proposal to top 3 qualified accounts
Friday,,13:00-14:00,Follow-up wave 4,P10,,Seed-Series A B2B SaaS,SRE Lead,Email,Follow_Up_D+3,Not sent,,,,Send final bump if no reply,+5d,Founder,
Friday,,13:00-14:00,Follow-up wave 4,P11,,Growth-stage SaaS,Engineering Manager,Email,Follow_Up_D+2,Not sent,,,,Send second follow-up,+3d,Founder,
Friday,,13:00-14:00,Follow-up wave 4,P12,,Growth-stage SaaS,Support Engineering Manager,Email,Follow_Up_D+2,Not sent,,,,Send second follow-up,+3d,Founder,
Friday,,14:00-15:00,Week review and scoreboard,,,,,,,,,,,,,,Founder,Summarize metrics and adjust next week plan
Friday,,15:00-15:30,Weekly KPI snapshot,,,,,,,,,,,,,,Founder,Targets: 40+ outbound, 10+ positives, 5+ interviews, 1-2 pilot asks
Backlog,,Any,Additional prospect outreach,P23,,Infra and DevTools,Engineering Manager,Email,Template_1,Not sent,,,,Queue for overflow blocks,,Founder,
Backlog,,Any,Additional prospect outreach,P24,,Infra and DevTools,Staff SRE,LinkedIn,Template_2,Not sent,,,,Queue for overflow blocks,,Founder,
Backlog,,Any,Additional prospect outreach,P25,,Infra and DevTools,Director Engineering,Email,Template_1,Not sent,,,,Queue for overflow blocks,,Founder,
Backlog,,Any,Additional prospect outreach,P26,,Infra and DevTools,Head of Engineering,Email,Template_2,Not sent,,,,Queue for overflow blocks,,Founder,
Backlog,,Any,Additional prospect outreach,P27,,Infra and DevTools,VP Engineering,LinkedIn,Template_1,Not sent,,,,Queue for overflow blocks,,Founder,
Backlog,,Any,Additional prospect outreach,P28,,Infra and DevTools,Engineering Manager,Email,Template_1,Not sent,,,,Queue for overflow blocks,,Founder,
Backlog,,Any,Additional prospect outreach,P29,,Infra and DevTools,SRE Lead,Email,Template_2,Not sent,,,,Queue for overflow blocks,,Founder,
Backlog,,Any,Additional prospect outreach,P30,,Infra and DevTools,Platform Engineer,LinkedIn,Template_1,Not sent,,,,Queue for overflow blocks,,Founder,
